transform,value,accuracy
baseline,0.0,77.57
translation,2.0,75.31
translation,4.0,70.32
translation,6.0,59.58
translation,8.0,45.95
translation,10.0,35.93
translation,12.0,26.33
translation,14.0,19.23
translation,16.0,12.72
translation,18.0,10.83
translation,20.0,10.36
translation,22.0,10.19
translation,24.0,10.06
translation,26.0,10.07
translation,28.0,10.0
translation,30.0,9.9
translation,32.0,10.0
translation,34.0,10.0
translation,36.0,10.0
translation,38.0,10.0
translation,40.0,10.0
rotation,2.0,76.67
rotation,5.0,75.8
rotation,8.0,72.32
rotation,10.0,71.26
rotation,12.0,68.37
rotation,15.0,62.91
rotation,18.0,56.74
rotation,20.0,51.33
rotation,25.0,40.79
rotation,30.0,32.14
rotation,35.0,25.98
rotation,40.0,22.67
rotation,45.0,20.15
rotation,50.0,19.72
h_flip,,77.17
v_flip,,41.92
