transform,value,accuracy
baseline,0.0,99.33
translation,2.0,89.87
translation,4.0,26.83
translation,6.0,11.27
translation,8.0,18.22
translation,10.0,21.37
translation,12.0,20.03
translation,14.0,14.34
translation,16.0,11.71
translation,18.0,11.35
translation,20.0,11.35
translation,22.0,11.35
translation,24.0,11.35
translation,26.0,11.35
translation,28.0,11.35
translation,30.0,11.35
translation,32.0,11.35
translation,34.0,11.35
translation,36.0,11.35
translation,38.0,11.35
translation,40.0,11.35
rotation,2.0,99.33
rotation,5.0,99.11
rotation,8.0,98.8
rotation,10.0,98.49
rotation,12.0,98.19
rotation,15.0,97.68
rotation,18.0,96.56
rotation,20.0,95.51
rotation,25.0,92.29
rotation,30.0,87.01
rotation,35.0,79.34
rotation,40.0,70.99
rotation,45.0,62.22
rotation,50.0,51.95
h_flip,,39.03
v_flip,,43.11
