epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.3919372079086303,48.792,1.1247584297180175,61.63
2,0.9083803638076782,67.724,0.8665531727790833,70.39
3,0.7076490937995911,75.136,0.7970732872009277,73.02
4,0.5987396150302887,79.292,0.5822898158073425,79.76
5,0.5299664965724945,81.534,0.6608570652484894,77.67
6,0.48612599864959716,83.386,0.5738825777530671,80.34
7,0.4451036187839508,84.724,0.5561532292366028,80.79
8,0.41720990503311156,85.778,0.5354694182395935,81.88
9,0.38931652572631836,86.614,0.6218687467575074,79.69
10,0.3653805292892456,87.46,0.5670491590738297,80.88
11,0.3379555291843414,88.296,0.4430756915330887,85.11
12,0.31488566873550417,89.206,0.49503438057899474,84.14
13,0.2913902670001984,90.058,0.45431747188568117,85.36
14,0.2681933887672424,90.828,0.4079577250480652,86.26
15,0.2380279783630371,91.816,0.41994950370788575,86.96
16,0.2158629682159424,92.546,0.32557647876739504,89.28
17,0.18660840468883513,93.524,0.32553084559440615,89.62
18,0.1592471078157425,94.512,0.2760955611348152,91.05
19,0.12740006223678588,95.708,0.2853183891296387,90.87
20,0.09945074174165726,96.724,0.2567110850334168,91.9
21,0.07714212165117264,97.408,0.2467972641468048,92.36
22,0.05573954381465912,98.258,0.2364065634727478,92.58
23,0.042029904586076736,98.748,0.22937614841461182,93.08
24,0.03313368837207556,99.024,0.2248408585548401,93.17
25,0.029964419438838957,99.158,0.2238976501941681,93.09
