transform,value,accuracy
baseline,0.0,93.17
translation,2.0,92.95
translation,4.0,91.99
translation,6.0,89.34
translation,8.0,83.37
translation,10.0,71.45
translation,12.0,56.51
translation,14.0,39.12
translation,16.0,27.69
translation,18.0,20.9
translation,20.0,16.59
translation,22.0,13.29
translation,24.0,10.44
translation,26.0,10.01
translation,28.0,10.0
translation,30.0,10.0
translation,32.0,10.0
translation,34.0,10.0
translation,36.0,10.0
translation,38.0,10.0
translation,40.0,10.0
rotation,2.0,92.37
rotation,5.0,90.03
rotation,8.0,86.83
rotation,10.0,84.04
rotation,12.0,79.3
rotation,15.0,69.98
rotation,18.0,60.02
rotation,20.0,53.57
rotation,25.0,39.58
rotation,30.0,31.94
rotation,35.0,29.74
rotation,40.0,30.46
rotation,45.0,30.87
rotation,50.0,27.12
h_flip,,93.26
v_flip,,43.96
