transform,value,accuracy
baseline,0.0,99.53
translation,2.0,97.14
translation,4.0,77.54
translation,6.0,49.69
translation,8.0,30.4
translation,10.0,17.62
translation,12.0,11.95
translation,14.0,11.35
translation,16.0,11.35
translation,18.0,11.35
translation,20.0,11.35
translation,22.0,11.35
translation,24.0,11.35
translation,26.0,11.35
translation,28.0,11.35
translation,30.0,11.35
translation,32.0,11.35
translation,34.0,11.35
translation,36.0,11.35
translation,38.0,11.35
translation,40.0,11.35
rotation,2.0,99.53
rotation,5.0,99.27
rotation,8.0,98.97
rotation,10.0,98.8
rotation,12.0,98.66
rotation,15.0,98.43
rotation,18.0,97.83
rotation,20.0,97.13
rotation,25.0,94.69
rotation,30.0,90.96
rotation,35.0,85.55
rotation,40.0,77.99
rotation,45.0,68.49
rotation,50.0,58.0
h_flip,,41.39
v_flip,,45.35
